Features,Coefficients
Glucose,0.7237077059060725
BMI,0.3886999679519265
Pregnancies,0.22873137276585212
Age,0.19404742420973375
DiabetesPedigreeFunction,0.16092841041914263
BloodPressure,0.04804613828776074
Insulin,0.0019683385664181004
SkinThickness,-0.00650682044574858
