,Features,Coefficients
0,Unnamed: 0,-0.12676072348617773
1,Pregnancies,0.28626468900330787
2,Glucose,0.9397756520743878
3,BloodPressure,-0.0028673559465193952
4,SkinThickness,-0.024134574050546042
5,Insulin,-0.05345153228822232
6,BMI,0.5117932734922707
7,DiabetesPedigreeFunction,0.18827980200348257
8,Age,0.20744889971271177
